"ADDRESS","BOROUGH","BIN","ZIP","CD","HPD_VIOLATIONS","DOB_VIOLATIONS","TOTAL_VIOLATIONS","DWELLING_UNITS","VIO_UNITS_RATIO"
"242 6 STREET","Brooklyn","3021558","11215","306","53","0","53","8","6.6"
"400 5 AVENUE","Brooklyn","3021606","11215","306","20","1","21","3","7"
"401 5 AVENUE","Brooklyn","3021631","11215","306","9","0","9","3","3"
"416 4 AVENUE","Brooklyn","3021808","11215","306","8","10","18","6","3"
"130 9 STREET","Brooklyn","3022205","11215","306","26","0","26","8","3.3"
"331 13 STREET","Brooklyn","3023251","11215","306","31","0","31","9","3.4"
"520 4 AVENUE","Brooklyn","3023362","11215","306","149","0","149","8","18.6"
"522 4 AVENUE","Brooklyn","3023363","11215","306","65","0","65","8","8.1"
"526 4 AVENUE","Brooklyn","3023365","11215","306","58","8","66","7","9.4"
"60 15 STREET","Brooklyn","3023819","11215","307","15","0","15","3","5"
"62 15 STREET","Brooklyn","3023820","11215","307","34","0","34","3","11.3"
"187 16 STREET","Brooklyn","3023929","11215","307","9","9","18","6","3"
"270 15 STREET","Brooklyn","3023966","11215","307","202","1","203","20","10.2"
"76 16 STREET","Brooklyn","3024067","11215","307","81","0","81","8","10.1"
"199 PROSPECT AVENUE","Brooklyn","3024163","11215","307","85","0","85","6","14.2"
"582 6 AVENUE","Brooklyn","3024206","11215","307","18","1","19","6","3.2"
"507 8 AVENUE","Brooklyn","3025617","11215","306","15","0","15","5","3"
"317 7 AVENUE","Brooklyn","3025919","11215","306","29","2","31","6","5.2"
"807 8 AVENUE","Brooklyn","3025925","11215","306","31","0","31","8","3.9"
"920 8 AVENUE","Brooklyn","3026021","11215","306","36","6","42","4","10.5"
"673 10 STREET","Brooklyn","3026096","11215","306","19","0","19","4","4.8"
"505 11 STREET","Brooklyn","3026181","11215","306","15","0","15","3","5"
"1203 8 AVENUE","Brooklyn","3026404","11215","306","65","2","67","8","8.4"
"899 PACIFIC STREET","Brooklyn","3027478","11238","308","12","0","12","4","3"
"552 DEAN STREET","Brooklyn","3027816","11217","308","151","3","154","8","19.3"
"545 BERGEN STREET","Brooklyn","3027832","11217","308","27","1","28","8","3.5"
"580 VANDERBILT AVENUE","Brooklyn","3028143","11238","308","13","0","13","4","3.3"
"197 ST MARKS AVENUE","Brooklyn","3028153","11238","308","19","0","19","6","3.2"
"621 VANDERBILT AVENUE","Brooklyn","3028189","11238","308","39","0","39","4","9.8"
"740 BERGEN STREET","Brooklyn","3028224","11238","308","11","0","11","3","3.7"
"689 CLASSON AVENUE","Brooklyn","3028284","11238","308","77","1","78","23","3.4"
"667 CLASSON AVENUE","Brooklyn","3028291","11238","308","19","2","21","6","3.5"
"872 BERGEN STREET","Brooklyn","3028293","11238","308","48","0","48","8","6"
"459 ST MARKS AVENUE","Brooklyn","3028328","11238","308","39","1","40","5","8"
"94 ST MARKS AVENUE","Brooklyn","3028341","11217","308","16","1","17","3","5.7"
"340 ST MARKS AVENUE","Brooklyn","3028555","11238","308","64","0","64","6","10.7"
"345 PROSPECT PLACE","Brooklyn","3028576","11238","308","38","0","38","8","4.8"
"618 GRAND AVENUE","Brooklyn","3028593","11238","308","30","0","30","8","3.8"
"388 ST MARKS AVENUE","Brooklyn","3028609","11238","308","88","0","88","12","7.3"
"400 ST MARKS AVENUE","Brooklyn","3028612","11238","308","39","0","39","12","3.3"
"408 ST MARKS AVENUE","Brooklyn","3028614","11238","308","28","0","28","8","3.5"
"412 ST MARKS AVENUE","Brooklyn","3028616","11238","308","45","0","45","7","6.4"
"581 PROSPECT PLACE","Brooklyn","3028683","11238","308","12","0","12","4","3"
"175 PARK PLACE","Brooklyn","3028762","11238","308","77","0","77","10","7.7"
"386 PROSPECT PLACE","Brooklyn","3028876","11238","308","34","0","34","8","4.3"
"718 WASHINGTON AVENUE","Brooklyn","3028877","11238","308","36","0","36","4","9"
"395 PARK PLACE","Brooklyn","3028897","11238","308","15","0","15","4","3.8"
"572 PROSPECT PLACE","Brooklyn","3029003","11238","308","101","0","101","20","5"
"601 PARK PLACE","Brooklyn","3029023","11238","308","74","0","74","24","3.1"
"597 PARK PLACE","Brooklyn","3029024","11238","308","53","1","54","8","6.8"
"594 PARK PLACE","Brooklyn","3029269","11238","308","64","0","64","20","3.2"
"728 FRANKLIN AVENUE","Brooklyn","3029282","11238","308","38","0","38","12","3.2"
"403 ST JOHNS PLACE","Brooklyn","3029411","11238","308","112","0","112","27","4.1"
"567 ST JOHNS PLACE","Brooklyn","3029510","11238","308","307","1","308","8","38.5"
"392 ST JOHNS PLACE","Brooklyn","3029523","11238","308","109","2","111","39","2.8"
"832 WASHINGTON AVENUE","Brooklyn","3029542","11238","308","18","3","21","6","3.5"
"554 ST JOHNS PLACE","Brooklyn","3029582","11238","308","23","0","23","6","3.8"
"563 LINCOLN PLACE","Brooklyn","3029603","11238","308","25","10","35","6","5.8"
"842 CLASSON AVENUE","Brooklyn","3029647","11238","308","23","1","24","8","3"
"585 FRANKLIN AVENUE","Brooklyn","3029741","11238","308","10","0","10","3","3.3"
"579 FRANKLIN AVENUE","Brooklyn","3029744","11238","308","14","5","19","4","4.8"
"1355 PACIFIC STREET","Brooklyn","3029799","11216","308","27","0","27","8","3.4"
"1295 PACIFIC STREET","Brooklyn","3029816","11216","308","49","0","49","6","8.2"
"63 KINGSTON AVENUE","Brooklyn","3029904","11213","308","19","0","19","3","6.3"
"1075 DEAN STREET","Brooklyn","3029975","11216","308","32","1","33","3","11"
"1292 PACIFIC STREET","Brooklyn","3030046","11216","308","163","5","168","76","2.2"
"1237 DEAN STREET","Brooklyn","3030068","11216","308","49","5","54","13","4.2"
"1197 DEAN STREET","Brooklyn","3030088","11216","308","20","3","23","6","3.8"
"1332 PACIFIC STREET","Brooklyn","3030094","11216","308","14","0","14","3","4.7"
"1378 PACIFIC STREET","Brooklyn","3030111","11216","308","122","1","123","23","5.3"
"1448 PACIFIC STREET","Brooklyn","3030151","11216","308","43","0","43","8","5.4"
"95 KINGSTON AVENUE","Brooklyn","3030187","11213","308","27","0","27","8","3.4"
"126 ALBANY AVENUE","Brooklyn","3030211","11213","308","47","2","49","7","7"
"1077 BERGEN STREET","Brooklyn","3030337","11216","308","32","0","32","7","4.6"
"1071 BERGEN STREET","Brooklyn","3030340","11216","308","15","0","15","3","5"
"1055 BERGEN STREET","Brooklyn","3030348","11216","308","578","4","582","16","36.4"
"1051 BERGEN STREET","Brooklyn","3030349","11216","308","0","12","12","4","3"
"103 KINGSTON AVENUE","Brooklyn","3030514","11213","308","22","0","22","6","3.7"
"950 BERGEN STREET","Brooklyn","3030572","11216","308","37","1","38","10","3.8"
"952 BERGEN STREET","Brooklyn","3030573","11216","308","34","1","35","10","3.5"
"575 ST MARKS AVENUE","Brooklyn","3030616","11216","308","147","9","156","7","22.3"
"1066 BERGEN STREET","Brooklyn","3030657","11216","308","50","0","50","16","3.1"
"641 ST MARKS AVENUE","Brooklyn","3030690","11216","308","57","1","58","15","3.9"
"1144 BERGEN STREET","Brooklyn","3030724","11216","308","63","0","63","17","3.7"
"1292 BERGEN STREET","Brooklyn","3030770","11213","308","20","0","20","3","6.7"
"867 ST MARKS AVENUE","Brooklyn","3030793","11213","308","11","20","31","10","3.1"
"913 ST MARKS AVENUE","Brooklyn","3030802","11213","308","46","0","46","4","11.5"
"1338 BERGEN STREET","Brooklyn","3030822","11213","308","70","3","73","16","4.6"
"1340 BERGEN STREET","Brooklyn","3030823","11213","308","53","2","55","8","6.9"
"1342 BERGEN STREET","Brooklyn","3030824","11213","308","72","3","75","16","4.7"
"971 ST MARKS AVENUE","Brooklyn","3030844","11213","308","38","0","38","8","4.8"
"947 ST MARK'S AVENUE","Brooklyn","3030846","11213","308","51","0","51","13","3.9"
"1411 BEDFORD AVENUE","Brooklyn","3030918","11216","308","21","0","21","3","7"
"758 ST MARKS AVENUE","Brooklyn","3031002","11216","308","46","0","46","6","7.7"
"855 PROSPECT PLACE","Brooklyn","3031007","11216","308","49","0","49","7","7"
"805 PROSPECT PLACE","Brooklyn","3031024","11216","308","73","0","73","9","8.1"
"169 NEW YORK AVENUE","Brooklyn","3031027","11216","308","125","0","125","8","15.6"
"1097 PROSPECT PLACE","Brooklyn","3031088","11213","308","184","2","186","13","14.3"
"693 FRANKLIN AVENUE","Brooklyn","3031110","11238","308","40","0","40","8","5"
"1430 BEDFORD AVENUE","Brooklyn","3031131","11216","308","114","0","114","8","14.3"
"1434 BEDFORD AVENUE","Brooklyn","3031133","11216","308","74","0","74","8","9.3"
"725 PARK PLACE","Brooklyn","3031165","11216","308","36","0","36","8","4.5"
"101 ROGERS AVENUE","Brooklyn","3031192","11216","308","102","6","108","12","9"
"734 PROSPECT PLACE","Brooklyn","3031198","11216","308","10","3","13","3","4.3"
"746 PROSPECT PLACE","Brooklyn","3031204","11216","308","19","0","19","6","3.2"
"780 PROSPECT PLACE","Brooklyn","3031206","11216","308","57","1","58","8","7.3"
"815 PARK PLACE","Brooklyn","3031221","11216","308","45","0","45","8","5.6"
"846 PROSPECT PLACE","Brooklyn","3031239","11216","308","233","2","235","20","11.8"
"897 PARK PLACE","Brooklyn","3031258","11216","308","45","13","58","12","4.8"
"930 PROSPECT PLACE","Brooklyn","3031294","11213","308","217","1","218","16","13.6"
"940 PROSPECT PLACE","Brooklyn","3031295","11213","308","89","0","89","16","5.6"
"949 PARK PLACE","Brooklyn","3031305","11213","308","138","0","138","8","17.3"
"1452 BEDFORD AVENUE","Brooklyn","3031424","11216","308","35","1","36","8","4.5"
"1469 BEDFORD AVENUE","Brooklyn","3031457","11216","308","139","3","142","27","5.3"
"792 PARK PLACE","Brooklyn","3031497","11216","308","27","0","27","8","3.4"
"804 PARK PLACE","Brooklyn","3031501","11216","308","95","0","95","8","11.9"
"894 PARK PLACE","Brooklyn","3031548","11216","308","91","1","92","10","9.2"
"996 PARK PLACE","Brooklyn","3031639","11213","308","34","0","34","4","8.5"
"1069 STERLING PLACE","Brooklyn","3031673","11213","308","150","3","153","27","5.7"
"1478 BEDFORD AVENUE","Brooklyn","3031803","11216","308","20","1","21","6","3.5"
"1490 BEDFORD AVENUE","Brooklyn","3031806","11216","308","24","1","25","8","3.1"
"761 ST JOHN PLACE","Brooklyn","3031857","11216","308","15","1","16","4","4"
"811 ST JOHNS PLACE","Brooklyn","3031890","11216","308","42","0","42","6","7"
"248 NEW YORK AVENUE","Brooklyn","3031973","11216","308","119","0","119","8","14.9"
"250 NEW YORK AVENUE","Brooklyn","3031974","11216","308","59","0","59","8","7.4"
"254 NEW YORK AVENUE","Brooklyn","3031975","11216","308","31","0","31","8","3.9"
"239 KINGSTON AVENUE","Brooklyn","3032052","11213","308","20","0","20","5","4"
"268 ALBANY AVENUE","Brooklyn","3032076","11213","308","46","0","46","8","5.8"
"1157 ST JOHNS PLACE","Brooklyn","3032084","11213","308","19","0","19","4","4.8"
"1149 ST JOHNS PLACE","Brooklyn","3032087","11213","308","148","0","148","8","18.5"
"625 LINCOLN PLACE","Brooklyn","3032186","11216","308","13","0","13","4","3.3"
"689 LINCOLN PLACE","Brooklyn","3032206","11216","308","23","0","23","6","3.8"
"767 LINCOLN PLACE","Brooklyn","3032254","11216","308","101","0","101","12","8.4"
"521 EASTERN PARKWAY","Brooklyn","3032635","11216","308","18","2","20","3","6.7"
"755 EASTERN PARKWAY","Brooklyn","3032785","11213","308","26","0","26","6","4.3"
"805 EASTERN PARKWAY","Brooklyn","3032868","11213","308","26","0","26","3","8.7"
"807 NOSTRAND AVENUE","Brooklyn","3032925","11225","309","48","2","50","6","8.3"
"800 EASTERN PARKWAY","Brooklyn","3033060","11213","309","103","0","103","4","25.8"
"1027 PRESIDENT STREET","Brooklyn","3033146","11225","309","11","0","11","3","3.7"
"1171 PRESIDENT STREET","Brooklyn","3033219","11225","309","93","0","93","39","2.4"
"835 NOSTRAND AVENUE","Brooklyn","3033230","11225","309","137","6","143","10","14.3"
"823 NOSTRAND AVENUE","Brooklyn","3033234","11225","309","40","0","40","10","4"
"979 CARROLL STREET","Brooklyn","3033471","11225","309","235","4","239","69","3.5"
"1180 PRESIDENT STREET","Brooklyn","3033530","11225","309","338","0","338","20","16.9"
"1119 CARROLL STREET","Brooklyn","3033556","11225","309","26","1","27","8","3.4"
"1116 CARROLL STREET","Brooklyn","3033818","11225","309","121","1","122","43","2.8"
"384 MONTGOMERY STREET","Brooklyn","3034441","11225","309","131","1","132","43","3.1"
"392 ROGERS AVENUE","Brooklyn","3034764","11225","309","82","3","85","39","2.2"
"448 EMPIRE BOULEVARD","Brooklyn","3034846","11225","309","12","0","12","4","3"
"488 EMPIRE BOULEVARD","Brooklyn","3034858","11225","309","17","0","17","4","4.3"
"1789 BEDFORD AVENUE","Brooklyn","3034936","11225","309","24","0","24","6","4"
"1785 BEDFORD AVENUE","Brooklyn","3034937","11225","309","11","38","49","4","12.3"
"1783 BEDFORD AVENUE","Brooklyn","3034938","11225","309","9","3","12","4","3"
"446 KINGSTON AVENUE","Brooklyn","3035179","11225","309","478","4","482","194","2.5"
"197 LINCOLN ROAD","Brooklyn","3035257","11225","309","347","12","359","53","6.8"
"452 ROGERS AVENUE","Brooklyn","3035291","11225","309","50","0","50","7","7.1"
"437 ROGERS AVENUE","Brooklyn","3035330","11225","309","33","0","33","6","5.5"
"433 ROGERS AVENUE","Brooklyn","3035331","11225","309","61","0","61","12","5.1"
"429 ROGERS AVENUE","Brooklyn","3035332","11225","309","87","0","87","7","12.4"
"333 LINCOLN ROAD","Brooklyn","3035374","11225","309","26","1","27","8","3.4"
"495 EAST NEW YORK AVENUE","Brooklyn","3035457","11225","309","18","0","18","6","3"
"1638 ATLANTIC AVENUE","Brooklyn","3035510","11213","308","10","1","11","3","3.7"
"123 ALBANY AVENUE","Brooklyn","3035628","11213","308","64","1","65","6","10.8"
"1552 PACIFIC STREET","Brooklyn","3035639","11213","308","11","0","11","3","3.7"
"1596 PACIFIC STREET","Brooklyn","3035651","11213","308","35","0","35","8","4.4"
"78 TROY AVENUE","Brooklyn","3035654","11213","308","111","0","111","5","22.2"
"1505 DEAN STREET","Brooklyn","3035669","11213","308","19","0","19","3","6.3"
"374 RALPH AVENUE","Brooklyn","3035746","11233","308","78","0","78","13","6"
"135 ALBANY AVENUE","Brooklyn","3035758","11213","308","60","0","60","12","5"
"1605 BERGEN STREET","Brooklyn","3035829","11213","308","36","1","37","3","12.3"
"444 RALPH AVENUE","Brooklyn","3035972","11233","308","74","0","74","6","12.3"
"1160 ST MARKS AVENUE","Brooklyn","3036030","11213","308","38","0","38","4","9.5"
"1162 ST MARKS AVENUE","Brooklyn","3036031","11213","308","59","0","59","4","14.8"
"162 UTICA AVENUE","Brooklyn","3036047","11213","308","32","18","50","6","8.3"
"1341 PROSPECT PLACE","Brooklyn","3036061","11213","308","17","0","17","3","5.7"
"474 RALPH AVENUE","Brooklyn","3036139","11233","308","12","0","12","3","4"
"185 UTICA AVENUE","Brooklyn","3036275","11213","308","0","10","10","3","3.3"
"196 BUFFALO AVENUE","Brooklyn","3036312","11213","308","66","1","67","13","5.2"
"1557 PARK PLACE","Brooklyn","3036317","11213","308","45","2","47","4","11.8"
"193 BUFFALO AVENUE","Brooklyn","3036333","11213","308","37","0","37","10","3.7"
"1564 PROSPECT PLACE","Brooklyn","3036337","11233","308","27","0","27","6","4.5"
"1614 PROSPECT PLACE","Brooklyn","3036353","11233","308","15","0","15","4","3.8"
"1620 PROSPECT PLACE","Brooklyn","3036355","11233","308","73","2","75","4","18.8"
"1647 PARK PLACE","Brooklyn","3036360","11233","308","55","0","55","6","9.2"
"1641 PARK PLACE","Brooklyn","3036361","11233","308","40","0","40","6","6.7"
"1254 PARK PLACE","Brooklyn","3036413","11213","308","9","0","9","3","3"
"1353 STERLING PLACE","Brooklyn","3036450","11213","308","40","0","40","7","5.7"
"1350 PARK PLACE","Brooklyn","3036487","11213","308","341","1","342","19","18"
"1477 STERLING PLACE","Brooklyn","3036580","11213","308","12","0","12","3","4"
"213 BUFFALO AVENUE","Brooklyn","3036633","11213","308","20","0","20","6","3.3"
"536 RALPH AVENUE","Brooklyn","3036646","11233","308","28","0","28","5","5.6"
"1665 STERLING PLACE","Brooklyn","3036654","11233","308","17","0","17","4","4.3"
"1657 STERLING PLACE","Brooklyn","3036657","11233","308","12","0","12","4","3"
"239 TROY AVENUE","Brooklyn","3036730","11213","308","28","14","42","10","4.2"
"1288 STERLING PLACE","Brooklyn","3036738","11213","308","23","0","23","6","3.8"
"1294 STERLING PLACE","Brooklyn","3036740","11213","308","34","2","36","6","6"
"1298 STERLING PLACE","Brooklyn","3036741","11213","308","84","0","84","6","14"
"232 SCHENECTADY AVENUE","Brooklyn","3036759","11213","308","76","0","76","6","12.7"
"236 SCHENECTADY AVENUE","Brooklyn","3036761","11213","308","34","0","34","6","5.7"
"1333 ST JOHNS PLACE","Brooklyn","3036767","11213","308","35","0","35","6","5.8"
"1321 ST JOHNS PLACE","Brooklyn","3036771","11213","308","36","0","36","6","6"
"1392 STERLING PLACE","Brooklyn","3036804","11213","308","168","0","168","23","7.3"
"1402 STERLING PLACE","Brooklyn","3036805","11213","308","117","0","117","20","5.8"
"1408 STERLING PLACE","Brooklyn","3036806","11213","308","89","0","89","20","4.5"
"236 UTICA AVENUE","Brooklyn","3036826","11213","308","33","0","33","3","11"
"1391 ST JOHNS PLACE","Brooklyn","3036833","11213","308","28","0","28","8","3.5"
"1379 ST JOHNS PLACE","Brooklyn","3036839","11213","308","22","0","22","7","3.1"
"1448 STERLING PLACE","Brooklyn","3036855","11213","308","47","0","47","10","4.7"
"1460 STERLING PLACE","Brooklyn","3036857","11213","308","109","0","109","36","3"
"1507 ST JOHNS PLACE","Brooklyn","3036881","11213","308","66","0","66","21","3.1"
"1515 ST JOHNS PLACE","Brooklyn","3036903","11213","308","156","1","157","24","6.5"
"1668 STERLING PLACE","Brooklyn","3036919","11233","308","34","0","34","4","8.5"
"558 RALPH AVENUE","Brooklyn","3036927","11233","308","49","0","49","12","4.1"
"1631 ST JOHNS PLACE","Brooklyn","3036935","11233","308","33","0","33","9","3.7"
"1627 ST JOHNS PLACE","Brooklyn","3036937","11233","308","52","6","58","5","11.6"
"1623 ST JOHNS PLACE","Brooklyn","3036939","11233","308","18","0","18","4","4.5"
"1222 ST JOHNS PLACE","Brooklyn","3036956","11213","308","79","0","79","20","4"
"1324 ST JOHNS PLACE","Brooklyn","3037020","11213","308","70","0","70","8","8.8"
"1301 LINCOLN PLACE","Brooklyn","3037094","11213","308","25","0","25","8","3.1"
"1548 ST JOHNS PLACE","Brooklyn","3037164","11213","308","15","0","15","3","5"
"1491 LINCOLN PLACE","Brooklyn","3037195","11213","308","80","0","80","16","5"
"1561 LINCOLN PLACE","Brooklyn","3037239","11233","308","22","0","22","6","3.7"
"276 TROY AVENUE","Brooklyn","3037263","11213","308","16","0","16","3","5.3"
"1089 EASTERN PARKWAY","Brooklyn","3037336","11213","308","56","0","56","16","3.5"
"1187 EASTERN PARKWAY","Brooklyn","3037374","11213","308","109","7","116","16","7.3"
"1181 EASTERN PARKWAY","Brooklyn","3037375","11213","308","72","2","74","16","4.6"
"1610 LINCOLN PLACE","Brooklyn","3037434","11233","308","7","3","10","3","3.3"
"1363 EASTERN PARKWAY","Brooklyn","3037441","11233","308","28","0","28","5","5.6"
"1557 UNION STREET","Brooklyn","3037505","11213","309","47","0","47","8","5.9"
"964 EASTERN PARKWAY","Brooklyn","3037508","11213","309","28","12","40","12","3.3"
"970 EASTERN PARKWAY","Brooklyn","3037509","11213","309","40","0","40","12","3.3"
"972 EASTERN PARKWAY","Brooklyn","3037510","11213","309","88","4","92","23","4"
"1018 EASTERN PARKWAY","Brooklyn","3037516","11213","309","182","0","182","34","5.4"
"1074 EASTERN PARKWAY","Brooklyn","3037545","11213","309","106","0","106","31","3.4"
"1961 UNION STREET","Brooklyn","3037634","11233","308","81","1","82","4","20.5"
"318 ROCHESTER AVENUE","Brooklyn","3037805","11213","309","78","0","78","35","2.2"
"1616 PRESIDENT STREET","Brooklyn","3037905","11213","309","83","1","84","25","3.4"
"1703 CARROLL STREET","Brooklyn","3037989","11213","309","18","0","18","4","4.5"
"1695 CARROLL STREET","Brooklyn","3037992","11213","309","31","0","31","4","7.8"
"615 CROWN STREET","Brooklyn","3038029","11213","309","112","0","112","27","4.1"
"799 CROWN STREET","Brooklyn","3038188","11213","309","24","0","24","4","6"
"401 TROY AVENUE","Brooklyn","3038214","11213","309","19","0","19","5","3.8"
"871 MONTGOMERY STREET","Brooklyn","3038252","11213","309","48","0","48","4","12"
"865 MONTGOMERY STREET","Brooklyn","3038254","11213","309","36","0","36","4","9"
"836 CROWN STREET","Brooklyn","3038310","11213","309","162","0","162","59","2.7"
"829 EMPIRE BOULEVARD","Brooklyn","3038385","11213","309","39","3","42","9","4.7"
"928 MONTGOMERY STREET","Brooklyn","3038389","11213","309","19","0","19","4","4.8"
"972 MONTGOMERY STREET","Brooklyn","3038403","11213","309","17","2","19","4","4.8"
"988 MONTGOMERY STREET","Brooklyn","3038406","11213","309","139","0","139","53","2.6"
"2105 PACIFIC STREET","Brooklyn","3038535","11233","316","18","0","18","3","6"
"2152 ATLANTIC AVENUE","Brooklyn","3038565","11233","316","21","0","21","3","7"
"2181 PACIFIC STREET","Brooklyn","3038572","11233","316","121","0","121","15","8.1"
"2127 PACIFIC STREET","Brooklyn","3038593","11233","316","0","9","9","3","3"
"2276 ATLANTIC AVENUE","Brooklyn","3038604","11233","316","29","0","29","3","9.7"
"2292 ATLANTIC AVENUE","Brooklyn","3038610","11233","316","11","0","11","3","3.7"
"2298 ATLANTIC AVENUE","Brooklyn","3038613","11233","316","171","0","171","3","57"
"2300 ATLANTIC AVENUE","Brooklyn","3038614","11233","316","36","1","37","8","4.6"
"2362 ATLANTIC AVENUE","Brooklyn","3038655","11233","316","25","0","25","3","8.3"
"2093 DEAN STREET","Brooklyn","3038700","11233","316","36","1","37","4","9.3"
"2083 DEAN STREET","Brooklyn","3038703","11233","316","34","0","34","4","8.5"
"2375 DEAN STREET","Brooklyn","3038759","11233","316","109","0","109","13","8.4"
"2344 PACIFIC STREET","Brooklyn","3038767","11233","316","16","0","16","3","5.3"
"2352 PACIFIC STREET","Brooklyn","3038771","11233","316","26","1","27","3","9"
"2364 PACIFIC STREET","Brooklyn","3038777","11233","316","24","3","27","3","9"
"134 SACKMAN STREET","Brooklyn","3038782","11233","316","25","0","25","4","6.3"
"136 SACKMAN STREET","Brooklyn","3038783","11233","316","213","1","214","6","35.7"
"1719 EAST NEW YORK AVENUE","Brooklyn","3038825","11212","316","25","0","25","3","8.3"
"1927 BERGEN STREET","Brooklyn","3038874","11233","316","27","1","28","3","9.3"
"1919 BERGEN STREET","Brooklyn","3038878","11233","316","27","0","27","3","9"
"2446 DEAN STREET","Brooklyn","3038978","11233","316","13","0","13","3","4.3"
"1411 ST MARKS AVENUE","Brooklyn","3039016","11233","316","15","0","15","3","5"
"340 SARATOGA AVENUE","Brooklyn","3039055","11233","316","48","0","48","3","16"
"1521 ST MARKS AVENUE","Brooklyn","3039061","11233","316","15","0","15","3","5"
"1517 ST MARKS AVENUE","Brooklyn","3039063","11233","316","0","14","14","3","4.7"
"1631 ST MARKS AVENUE","Brooklyn","3039131","11233","316","35","0","35","8","4.4"
"477 RALPH AVENUE","Brooklyn","3039148","11233","316","10","2","12","3","4"
"1677 PROSPECT PLACE","Brooklyn","3039179","11233","316","41","2","43","3","14.3"
"1466 ST MARKS AVENUE","Brooklyn","3039194","11233","316","88","0","88","7","12.6"
"1864 PROSPECT PLACE","Brooklyn","3039327","11233","316","9","1","10","3","3.3"
"1873 PARK PLACE","Brooklyn","3039338","11233","316","73","0","73","3","24.3"
"1871 PARK PLACE","Brooklyn","3039339","11233","316","43","0","43","3","14.3"
"1837 PARK PLACE","Brooklyn","3039353","11233","316","24","0","24","3","8"
"1924 PROSPECT PLACE","Brooklyn","3039367","11233","316","33","0","33","4","8.3"
"1936 PROSPECT PLACE","Brooklyn","3039370","11233","316","161","3","164","4","41"
"1491 EAST NEW YORK AVENUE","Brooklyn","3039375","11212","316","25","0","25","5","5"
"1939 PARK PLACE","Brooklyn","3039376","11233","316","74","0","74","37","2"
"1682 PARK PLACE","Brooklyn","3039383","11233","316","122","0","122","20","6.1"
"417 SARATOGA AVENUE","Brooklyn","3039397","11233","316","20","0","20","6","3.3"
"1549 EASTERN PARKWAY","Brooklyn","3039411","11233","316","13","0","13","3","4.3"
"1576 EASTERN PARKWAY","Brooklyn","3039416","11233","316","11","0","11","3","3.7"
"1586 EASTERN PARKWAY","Brooklyn","3039419","11233","316","37","0","37","3","12.3"
"1588 EASTERN PARKWAY","Brooklyn","3039420","11233","316","112","0","112","3","37.3"
"410 HOPKINSON AVENUE","Brooklyn","3039426","11233","316","14","0","14","3","4.7"
"1530 EASTERN PARKWAY","Brooklyn","3039472","11233","316","86","0","86","8","10.8"
"1540 EASTERN PARKWAY","Brooklyn","3039483","11233","316","121","0","121","3","40.3"
"1488 EASTERN PARKWAY","Brooklyn","3039525","11233","316","17","0","17","3","5.7"
"1430 EASTERN PARKWAY","Brooklyn","3039556","11233","316","12","0","12","3","4"
"1429 PITKIN AVENUE","Brooklyn","3039570","11233","316","29","0","29","3","9.7"
"553 HOWARD AVENUE","Brooklyn","3039579","11233","316","266","0","266","12","22.2"
"1398 PITKIN AVENUE","Brooklyn","3039596","11233","316","16","0","16","5","3.2"
"825 MADISON STREET","Brooklyn","3039675","11221","303","44","0","44","3","14.7"
"73 RALPH AVENUE","Brooklyn","3039680","11221","303","25","0","25","6","4.2"
"969 PUTNAM AVENUE","Brooklyn","3039714","11221","303","75","0","75","8","9.4"
"920 MADISON STREET","Brooklyn","3039721","11221","303","70","0","70","13","5.4"
"1438 BROADWAY","Brooklyn","3039725","11221","303","26","1","27","3","9"
"31 HOWARD AVENUE","Brooklyn","3039736","11221","303","136","1","137","6","22.8"
"1074 PUTNAM AVENUE","Brooklyn","3039818","11221","303","25","0","25","3","8.3"
"1078 PUTNAM AVENUE","Brooklyn","3039820","11221","303","91","0","91","13","7"
"981 JEFFERSON AVENUE","Brooklyn","3039833","11221","303","31","0","31","8","3.9"
"914 JEFFERSON AVENUE","Brooklyn","3039867","11221","303","42","0","42","8","5.3"
"60 HOWARD AVENUE","Brooklyn","3039869","11221","303","18","0","18","3","6"
"992 JEFFERSON AVENUE","Brooklyn","3039903","11221","303","234","6","240","9","26.7"
"795 HALSEY STREET","Brooklyn","3039928","11233","303","25","2","27","6","4.5"
"841 HALSEY STREET","Brooklyn","3039966","11233","303","19","0","19","6","3.2"
"792 HALSEY STREET","Brooklyn","3039997","11233","303","9","0","9","3","3"
"643 MAC DONOUGH STREET","Brooklyn","3040101","11233","303","41","0","41","13","3.2"
"653 MAC DONOUGH STREET","Brooklyn","3040134","11233","303","35","3","38","6","6.3"
"667 MAC DONOUGH STREET","Brooklyn","3040183","11233","303","33","0","33","6","5.5"
"727 MAC DONOUGH STREET","Brooklyn","3040194","11233","316","46","0","46","4","11.5"
"872 MACON STREET","Brooklyn","3040210","11233","316","104","0","104","8","13"
"779 MAC DONOUGH STREET","Brooklyn","3040223","11233","316","13","0","13","3","4.3"
"747 MAC DONOUGH STREET","Brooklyn","3040236","11233","316","20","0","20","6","3.3"
"743 MAC DONOUGH STREET","Brooklyn","3040237","11233","316","42","0","42","7","6"
"737 MAC DONOUGH STREET","Brooklyn","3040240","11233","316","31","0","31","4","7.8"
"707 DECATUR STREET","Brooklyn","3040425","11233","316","17","0","17","3","5.7"
"818 MAC DONOUGH STREET","Brooklyn","3040465","11233","316","12","1","13","3","4.3"
